relpath,fullpath_x,filename_x,size_x,modified_x,rootpath_x,fullpath_y,filename_y,size_y,modified_y,rootpath_y,archive_dir,options,skip,remove_dest,backup,archive
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_001.png,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_001.png,spaceAstronauts_001.png,2283,1464204466.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_001.png,spaceAstronauts_001.png,2283.0,1464204466.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_001.png.meta,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_001.png.meta,spaceAstronauts_001.png.meta,1475,1485058856.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_001.png.meta,spaceAstronauts_001.png.meta,1475.0,1485058856.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_002.png,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_002.png,spaceAstronauts_002.png,2750,1464204466.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_002.png,spaceAstronauts_002.png,2750.0,1464204466.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_002.png.meta,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_002.png.meta,spaceAstronauts_002.png.meta,1475,1485058858.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_002.png.meta,spaceAstronauts_002.png.meta,1475.0,1485058858.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_003.png,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_003.png,spaceAstronauts_003.png,2804,1464204466.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_003.png,spaceAstronauts_003.png,2804.0,1464204466.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_003.png.meta,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_003.png.meta,spaceAstronauts_003.png.meta,1475,1485058856.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_003.png.meta,spaceAstronauts_003.png.meta,1475.0,1485058856.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_004.png,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_004.png,spaceAstronauts_004.png,2274,1464204466.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_004.png,spaceAstronauts_004.png,2274.0,1464204466.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_004.png.meta,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_004.png.meta,spaceAstronauts_004.png.meta,1475,1485058862.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_004.png.meta,spaceAstronauts_004.png.meta,1475.0,1485058862.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_005.png,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_005.png,spaceAstronauts_005.png,2723,1464204466.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_005.png,spaceAstronauts_005.png,2723.0,1464204466.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_005.png.meta,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_005.png.meta,spaceAstronauts_005.png.meta,1475,1485058858.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_005.png.meta,spaceAstronauts_005.png.meta,1475.0,1485058858.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
